time,open_N,open_N-1,close_N,close_N-1,low_N,low_N-1,high_N,high_N-1,volume_N,volume_N-1,pattern_N,pattern_N-1,body_N,body_N-1,candle_height_N,candle_height_N-1,shadow_up_N,shadow_up_N-1,shadow_down_N,shadow_down_N-1,body_diff,shadow_sum_N,shadow_sum_N-1,ratio_up_shadow_to_body_N,ratio_up_shadow_to_body_N_abs,ratio_up_shadow_to_body_N-1,ratio_up_shadow_to_body_N-1_abs,ratio_down_shadow_to_body_N,ratio_down_shadow_to_body_N_abs,ratio_down_shadow_to_body_N-1,ratio_down_shadow_to_body_N-1_abs,ratio_sum_shadow_to_body_N,ratio_sum_shadow_to_body_N_abs,ratio_sum_shadow_to_body_N-1,ratio_sum_shadow_to_body_N-1_abs,ratio_of_body,ratio_of_body_abs,is_zero_body_N,is_zero_body_N-1,pattern,cluster,pca_1,pca_2
2009-02-03 19:00:00,1544,1550,1546,1540,1543,1529,1556,1557,1866,20607,1,1,2,-4,13,28,10,7,1,11,6,11,18,5.0,5.0,-1.75,1.75,0.5,0.5,-2.75,2.75,5.5,5.5,-4.5,4.5,-0.5,0.5,0,0,1,2,-5.470809782240064,0.6981809097085793
2009-02-05 13:00:00,1517,1531,1527,1515,1511,1508,1529,1535,9276,17728,1,1,10,-2,18,27,2,4,6,7,12,8,11,0.2,0.2,-2.0,2.0,0.6,0.6,-3.5,3.5,0.8,0.8,-5.5,5.5,-5.0,5.0,0,0,1,2,-5.541143376446174,0.5750781541037095
2009-02-06 23:00:00,1612,1619,1615,1611,1601,1597,1619,1621,1555,2218,1,1,3,-1,18,24,4,2,11,14,4,15,16,1.3333333333333333,1.3333333333333333,-2.0,2.0,3.6666666666666665,3.6666666666666665,-14.0,14.0,5.0,5.0,-16.0,16.0,-3.0,3.0,0,0,1,2,-5.253790286986632,0.8966585991856293
2009-02-13 17:00:00,1868,1911,1882,1866,1855,1866,1900,1912,25085,21815,1,1,14,-2,45,46,18,1,13,0,16,31,1,1.2857142857142858,1.2857142857142858,-0.5,0.5,0.9285714285714286,0.9285714285714286,-0.0,0.0,2.2142857142857144,2.2142857142857144,-0.5,0.5,-7.0,7.0,0,0,1,2,-5.325897320138896,0.791534297844733
2009-02-18 13:00:00,1426,1434,1428,1424,1387,1417,1430,1456,15227,28290,1,1,2,-2,43,39,2,22,39,7,4,41,29,1.0,1.0,-11.0,11.0,19.5,19.5,-3.5,3.5,20.5,20.5,-14.5,14.5,-1.0,1.0,0,0,1,2,-4.831876216548718,2.1566360713891637
2009-02-19 19:00:00,1527,1561,1530,1523,1523,1516,1549,1568,2379,19648,1,1,3,-4,26,52,19,7,4,7,7,23,14,6.333333333333333,6.333333333333333,-1.75,1.75,1.3333333333333333,1.3333333333333333,-1.75,1.75,7.666666666666667,7.666666666666667,-3.5,3.5,-0.75,0.75,0,0,1,2,-5.333269039226882,0.8896336027785245
2009-02-20 12:00:00,1449,1470,1451,1445,1431,1415,1470,1477,26475,42706,1,1,2,-4,39,62,19,7,18,30,6,37,37,9.5,9.5,-1.75,1.75,9.0,9.0,-7.5,7.5,18.5,18.5,-9.25,9.25,-0.5,0.5,0,0,1,2,-4.898532558392629,2.1349179974702888
2009-02-25 12:00:00,1479,1498,1482,1477,1469,1463,1487,1502,9157,23558,1,1,3,-2,18,39,5,4,10,14,5,15,18,1.6666666666666667,1.6666666666666667,-2.0,2.0,3.3333333333333335,3.3333333333333335,-7.0,7.0,5.0,5.0,-9.0,9.0,-1.5,1.5,0,0,1,2,-5.386271208115963,0.9479061738871237
2009-02-27 12:00:00,1437,1453,1447,1436,1431,1431,1455,1457,15694,26629,1,1,10,-1,24,26,8,4,6,5,11,14,9,0.8,0.8,-4.0,4.0,0.6,0.6,-5.0,5.0,1.4,1.4,-9.0,9.0,-10.0,10.0,0,0,1,2,-5.446078280260564,0.8875942323040956
2009-03-02 14:00:00,1396,1407,1399,1395,1386,1392,1407,1407,8757,7233,1,1,3,-1,21,15,8,0,10,3,4,18,3,2.6666666666666665,2.6666666666666665,-0.0,0.0,3.3333333333333335,3.3333333333333335,-3.0,3.0,6.0,6.0,-3.0,3.0,-3.0,3.0,0,0,1,2,-5.5913897799110694,0.66524579697787
